capability,metric,mean_delta,ci_low,ci_high,t,df,excludes_null
nano (Study 4),correctness,-0.015396945646945659,-0.05163307658841289,0.02083918529452157,-1.0047427838262875,7,False
nano (Study 4),selection_f1,0.02922619047619049,-0.118816256429739,0.17726863738211998,0.4668185390476824,7,False
nano (Study 4),tokens_used,24507.15,3952.159559050975,45062.14044094903,2.819276486355132,7,True
mini (Study 6),correctness,-0.03850035612535614,-0.09715675053904833,0.02015603828833605,-1.5520707793066235,7,False
mini (Study 6),selection_f1,-0.11508928571428577,-0.27343899166226926,0.04326042023369771,-1.7186196492710109,7,False
mini (Study 6),tokens_used,118788.37499999999,87654.98228483391,149921.76771516606,9.022141431938042,7,True
