metric,n_scenarios,interaction,sd,ci_low,ci_high,t,df,excludes_null
correctness,8,-0.023103410478410483,0.06861054534870405,-0.08046326183435114,0.03425644087753017,-0.952423749719049,7,False
selection_f1,8,-0.14431547619047624,0.26436840213027646,-0.36533299138920405,0.0767020390082516,-1.5440037617531108,7,False
tokens_used,8,94281.22499999999,25391.30754702989,73053.56066314862,115508.88933685137,10.502317521473667,7,True
