prediction,statement,rule,observed,held
P1,both arms improve in absolute terms on the larger model,"correctness +0.02 in both arms, or macro F1 +0.05 in both","single: correctness 0.9107->0.9303, F1 0.7104->0.9341; multi: correctness 0.9018->0.8979, F1 0.7560->0.5900",FAILED
P2,the architectural difference remains null at the higher capability,a real difference = |paired delta| >= 0.05 with CI excluding 0,"mini macro F1 -0.1151 CI [-0.2734, +0.0433]; correctness -0.0385 CI [-0.0972, +0.0202]",HELD (null survives)
P3,multi gains MORE than single (coordination demands capability),architecture x capability interaction on correctness is positive,"interaction -0.0231 CI [-0.0805, +0.0343], F(1,255)=2.19, p=0.140",FAILED (direction reversed)
P4,the cost ratio narrows,multi/single token ratio falls below 1.45 (Study 4: 1.596),nano 1.596x -> mini 6.746x,FAILED
P5,capability-dependent failures fall to zero,zero non-finalised terminations across all Study 6 runs,24 non-finalised of 160 (Study 4: 2 of 160),FAILED
