measure,kind,n3_delta,n3_ci_low,n3_ci_high,n3_t,n10_delta,n10_ci_low,n10_ci_high,n10_t,n3_excludes_null,n10_excludes_null,n3_ci_width,n10_ci_width
selection_f1,"paired t (macro, n=8 scenarios)",-0.03095238095238094,-0.1348188146350299,0.07291405273026802,-0.704662209431045,0.05053571428571425,-0.041914721556068554,0.14298615012749705,1.292562598364268,False,False,0.20773286736529792,0.18490087168356562
selection_precision,"paired t (macro, n=8 scenarios)",-0.09722222222222222,-0.2348902778608643,0.040445833416419844,-1.6699155326479425,-0.010416666666666609,-0.16484768553474596,0.14401435220141276,-0.15949841425186195,False,False,0.27533611127728413,0.3088620377361587
selection_recall,"paired t (macro, n=8 scenarios)",0.006944444444444461,-0.15855076530436957,0.17243965419325846,0.09922342629793143,0.1,0.007874981357458538,0.19212501864254147,2.5667557916789923,False,True,0.33099041949762803,0.18425003728508293
tokens_used,"paired t (macro, n=8 scenarios)",21937.499999999996,-11535.685948347174,55410.68594834716,1.5497163789357824,17730.1125,-6862.501150694479,42322.72615069448,1.704782362560493,False,False,66946.37189669434,49185.22730138896
token_ratio_geometric,paired log-ratio (n=8 scenarios),1.6140253371827842,0.9285801590480186,2.805442011316211,2.047681742608493,1.5237998895709255,1.0074202050028114,2.3048635434603826,2.4068683648372593,False,True,1.8768618522681924,1.2974433384575712
micro_F1,cluster bootstrap over scenarios (pooled micro),-0.03880704275961189,-0.09389755935792747,0.017861146112567953,,0.01824279007377594,-0.04104624127268332,0.08004368004368001,,False,False,0.11175870547049542,0.12108992131636333
micro_F0.5,cluster bootstrap over scenarios (pooled micro),-0.06343984962406013,-0.12029493964440763,-0.003975465697410363,,-0.027366952841305303,-0.09523289929924128,0.045060080106809064,,True,False,0.11631947394699726,0.14029297940605034
micro_F2,cluster bootstrap over scenarios (pooled micro),-0.015203558758939084,-0.10822136512659204,0.0775568443339778,,0.058633101186292724,-0.01616985608828081,0.1259580592105263,,False,False,0.18577820946056983,0.1421279152988071
