component,ss,pct_of_total
between scenarios,0.2071284469933044,59.52112641500631
between architectures,0.00031799405894855913,0.09137984114036253
within cell (run-to-run),0.09376921369244695,26.94583628198735
remainder (interaction + imbalance),0.04677582234717803,13.441657461865974
total,0.34799147709187794,100.0
