architecture,n,pearson_r,pearson_p,spearman_rho,spearman_p
single,35,0.17253512625171996,0.3216270583103199,0.1502426195131509,0.38897826742004266
multi,32,0.13765697156289178,0.4524651524261712,0.03433829532441306,0.8519952497952692
