,n,n_finalised,corr_mean,corr_sd,corr_n,cis_mean,cis_sd,cis_raw_mean,cis_raw_sd,tok_mean,tok_sd,wall_mean,wall_sd
single,36.0,35.0,0.9167154041103621,0.07520649248176675,35.0,0.9021978021978022,0.05700408289464922,0.7330357142857142,0.04631581735190247,26119.222222222223,18602.99832071795,46.94850499189407,8.994993694610358
multi,36.0,32.0,0.9123538838612368,0.07079477874974553,32.0,0.9087912087912088,0.04383872514440073,0.7383928571428572,0.035618964179825574,49096.75,28643.965885006717,79.0786685023405,27.94143881600884
