agent,total_tokens,pct_of_multi_tokens,mean_pct_within_run,n_runs_present
orchestrator,273976,15.500912880067304,19.255193345644475,36
config,1319078,74.63030761823451,67.06170595771812,36
security,140601,7.954871418848159,12.550508086532412,32
validation,33828,1.913908082850019,2.527093508608591,36
