scenario,correctness_single,tokens_single,wall_single,correctness_multi,tokens_multi,wall_multi,d_correctness,d_tokens,d_wall
scenario_002_oltp_small,0.8571428571428571,21600.0,47.36791973638659,1.0,62097.0,102.26154805603437,-0.1428571428571429,-40497.0,-54.89362831964778
scenario_003_oltp_gdpr,1.0,29364.666666666668,51.04216747226504,1.0,51594.0,76.03395934721145,0.0,-22229.333333333332,-24.991791874946408
scenario_004_olap_large,0.9285714285714286,24289.333333333332,47.51620931938911,0.9047619047619048,51230.0,87.39846852809812,0.023809523809523836,-26940.666666666668,-39.88225920870901
scenario_005_cache_heavy,0.7948717948717949,23765.666666666668,43.38948102768821,0.8205128205128205,37619.0,71.10762118066971,-0.02564102564102555,-13853.333333333332,-27.718140152981498
scenario_006_balanced_hipaa,0.8888888888888888,17910.333333333332,41.904205847298726,0.9444444444444444,54006.333333333336,94.2735722643168,-0.05555555555555558,-36096.0,-52.36936641701807
scenario_007_oltp_pci,1.0,34791.0,49.05073918029666,0.9722222222222222,76344.33333333333,77.72513045797434,0.02777777777777779,-41553.33333333333,-28.674391277677685
scenario_008_olap_gdpr,0.9607843137254902,16943.0,48.89050231943838,0.9411764705882353,54772.0,75.85199843005587,0.019607843137254943,-37829.0,-26.96149611061749
scenario_009_cache_constrained,0.8461538461538461,53234.333333333336,58.039421763969585,0.8717948717948718,36523.333333333336,65.50548354171526,-0.02564102564102566,16711.0,-7.466061777745679
scenario_010_balanced_large,0.9285714285714286,28878.333333333332,46.29765098604063,0.9285714285714286,26398.0,59.42386249965057,0.0,2480.333333333332,-13.126211513609938
scenario_011_oltp_hipaa_constrained,0.9814814814814815,15019.333333333334,41.69153290273001,0.8888888888888888,32562.666666666668,72.75835863896646,0.09259259259259267,-17543.333333333336,-31.066825736236446
scenario_012_olap_pci,0.9444444444444444,35438.333333333336,51.02154290257022,0.9166666666666666,71105.0,100.35051966668107,0.02777777777777779,-35666.666666666664,-49.32897676411085
smoke_test_001,0.8461538461538461,12196.333333333334,37.17068644465568,0.8205128205128205,34909.333333333336,66.25349941671205,0.02564102564102566,-22713.0,-29.082812972056367
