measure,n,mean,sd,se,t,df,p,ci_low,ci_high
correctness,12,-0.002707350746566417,0.057561802079849234,0.016616660962920457,-0.16292989022329954,11,0.8735282994997309,-0.03928037493622838,0.033865673443095545
tokens,12,-22977.527777777777,17985.010951299144,5191.8254570554645,-4.4257126838792935,11,0.0010188268952673251,-34404.65856254284,-11550.396993012711
wall_clock_s,12,-32.13016351044644,14.68660413715256,4.239657426033252,-7.578481061501321,11,1.0887151692679455e-05,-41.46158658901794,-22.798740431874936
